
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/2/2025 2:26:50 PM;;
4/2/2025 2:26:58 PM;TargetLandmark1_Billboard;(-0.096, 0.619, 2.263);-0.096;0.619;2.263;0.598;0.395;290.000
4/2/2025 2:26:58 PM;TargetLandmark2_LionStatue;(-0.096, 0.261, 2.263);-0.096;0.261;2.263;0.394;0.217;292.500
4/2/2025 2:26:58 PM;TargetLandmark3_GlobalLandmark1;(-0.096, 0.383, 2.263);-0.096;0.383;2.263;0.117;0.395;260.000
4/2/2025 2:26:58 PM;TargetLandmark4_GasStation;(-0.096, 0.153, 2.263);-0.096;0.153;2.263;0.307;0.677;295.000
4/2/2025 2:26:58 PM;TargetLandmark5_Church;(-0.096, 0.862, 2.263);-0.096;0.862;2.263;0.604;0.882;275.000
4/2/2025 2:26:58 PM;TargetLandmark6_GlobalLandmark2;(0.291, 0.758, 2.500);0.291;0.758;2.500;0.869;0.849;235.000
4/2/2025 2:26:58 PM;TargetLandmark7_MusicShop;(-0.096, 0.498, 2.263);-0.096;0.498;2.263;0.791;0.569;280.000
4/2/2025 2:29:01 PM;TargetLandmark1_Billboard;(0.839, 0.826, 2.402);0.839;0.826;2.402;0.598;0.395;290.000
4/2/2025 2:29:01 PM;TargetLandmark2_LionStatue;(0.778, 0.729, 2.464);0.778;0.729;2.464;0.394;0.217;292.500
4/2/2025 2:29:01 PM;TargetLandmark3_GlobalLandmark1;(0.726, 0.483, 2.447);0.726;0.483;2.447;0.117;0.395;260.000
4/2/2025 2:29:01 PM;TargetLandmark4_GasStation;(0.340, 0.550, 2.405);0.340;0.550;2.405;0.307;0.677;295.000
4/2/2025 2:29:01 PM;TargetLandmark5_Church;(0.436, 0.710, 2.478);0.436;0.710;2.478;0.604;0.882;275.000
4/2/2025 2:29:01 PM;TargetLandmark6_GlobalLandmark2;(0.302, 0.744, 2.408);0.302;0.744;2.408;0.869;0.849;235.000
4/2/2025 2:29:01 PM;TargetLandmark7_MusicShop;(0.635, 0.802, 2.481);0.635;0.802;2.481;0.791;0.569;280.000
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/2/2025 2:29:32 PM;;
