
ResponseTime(ms),ResponseDateTime,Stimulus,TargetStatus,ParticipantResponse,ReactionTime(ms),ResponseClassification
63879199538844,4/2/2025 2:05:38 PM,G,Yes,No,500.20,Miss
63879199541855,4/2/2025 2:05:41 PM,D,No,No,1000.90,Correct Rejection
63879199544855,4/2/2025 2:05:44 PM,G,No,No,1490.19,Correct Rejection
63879199544899,4/2/2025 2:05:44 PM,G,No,Yes,1534.24,False Alarm
63879199548043,4/2/2025 2:05:48 PM,K,No,No,2177.64,Correct Rejection
63879199549087,4/2/2025 2:05:49 PM,K,Yes,Yes,721.41,Hit
63879199552154,4/2/2025 2:05:52 PM,G,No,No,1288.51,Correct Rejection
63879199555155,4/2/2025 2:05:55 PM,K,No,No,1788.96,Correct Rejection
63879199557545,4/2/2025 2:05:57 PM,K,Yes,Yes,1667.98,Hit
63879199560589,4/2/2025 2:06:00 PM,T,No,No,2211.69,Correct Rejection
63879199563591,4/2/2025 2:06:03 PM,T,Yes,No,191.47,Miss
63879199566599,4/2/2025 2:06:06 PM,T,Yes,No,699.09,Miss
63879199569601,4/2/2025 2:06:09 PM,K,No,No,1190.99,Correct Rejection
63879199572607,4/2/2025 2:06:12 PM,D,No,No,1685.88,Correct Rejection
63879199575611,4/2/2025 2:06:15 PM,G,No,No,2186.35,Correct Rejection
63879199578612,4/2/2025 2:06:18 PM,K,Yes,No,161.97,Miss
63879199581633,4/2/2025 2:06:21 PM,K,Yes,No,676.26,Miss
63879199584633,4/2/2025 2:06:24 PM,K,Yes,No,1155.59,Miss
63879199587633,4/2/2025 2:06:27 PM,K,Yes,No,1654.41,Miss
63879199587958,4/2/2025 2:06:27 PM,K,Yes,Yes,1978.94,Hit
63879199591053,4/2/2025 2:06:31 PM,G,No,No,56.92,Correct Rejection
63879199594060,4/2/2025 2:06:34 PM,D,No,No,559.83,Correct Rejection
63879199596786,4/2/2025 2:06:36 PM,G,No,Yes,781.94,False Alarm
