Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;GazeHitDistance;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;ReferenceLandmark;DisplayLandmark;GroundTruthDirection;GazeAngleDeviation
19;4/3/2025 3:27:21 PM;147362;1000247398383199483;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.106, 0.130, 0.986);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.129, 0.178, 0.975);(-0.032, 0.000, 0.000);0.502;6.186;12.311;VALID;(0.084, 0.096, 0.992);(0.032, 0.000, 0.000);0.495;6.460;13.051;0.3170087;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147363;1000247398388200328;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.111, 0.129, 0.985);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.135, 0.177, 0.975);(-0.032, 0.000, 0.000);0.503;6.191;12.311;VALID;(0.089, 0.095, 0.991);(0.032, 0.000, 0.000);0.494;6.453;13.051;0.3203097;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147364;1000247398393201159;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.114, 0.128, 0.985);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.136, 0.176, 0.975);(-0.032, 0.000, 0.000);0.499;6.141;12.311;VALID;(0.093, 0.095, 0.991);(0.032, 0.000, 0.000);0.494;6.451;13.051;0.3092861;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147365;1000247398398202002;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.117, 0.127, 0.985);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.137, 0.175, 0.975);(-0.032, 0.000, 0.000);0.498;6.129;12.311;VALID;(0.098, 0.094, 0.991);(0.032, 0.000, 0.000);0.494;6.449;13.051;0.3004901;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147366;1000247398403202837;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.120, 0.126, 0.985);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.140, 0.174, 0.975);(-0.032, 0.000, 0.000);0.498;6.128;12.311;VALID;(0.102, 0.094, 0.990);(0.032, 0.000, 0.000);0.494;6.448;13.051;0.2948836;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147367;1000247398408203647;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.127, 0.125, 0.984);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.148, 0.173, 0.974);(-0.032, 0.000, 0.000);0.502;6.179;12.311;VALID;(0.106, 0.093, 0.990);(0.032, 0.000, 0.000);0.494;6.446;13.051;0.3131766;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147368;1000247398413204454;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.131, 0.123, 0.984);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.154, 0.172, 0.973);(-0.032, 0.000, 0.000);0.505;6.222;12.311;VALID;(0.111, 0.091, 0.990);(0.032, 0.000, 0.000);0.494;6.441;13.051;0.3175044;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147369;1000247398418205246;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.121, 0.127, 0.985);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.140, 0.176, 0.974);(-0.032, 0.000, 0.000);0.505;6.221;12.311;VALID;(0.104, 0.095, 0.990);(0.032, 0.000, 0.000);0.506;6.606;13.051;0.2875713;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147370;1000247398423206048;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.110, 0.133, 0.985);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.130, 0.178, 0.975);(-0.032, 0.000, 0.000);0.508;6.257;12.311;VALID;(0.094, 0.103, 0.990);(0.032, 0.000, 0.000);0.516;6.738;13.051;0.318038;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147371;1000247398428206909;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.106, 0.148, 0.983);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.119, 0.191, 0.974);(-0.032, 0.000, 0.000);0.516;6.348;12.311;VALID;(0.088, 0.118, 0.989);(0.032, 0.000, 0.000);0.507;6.615;13.051;0.3094144;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
19;4/3/2025 3:27:21 PM;147372;1000247398433207688;63879290841518;(-0.062, 1.405, 1.061);(0.082, -0.120, 0.058, 0.988);(499.385, 1.905, 241.800);(-0.227, -0.175, 0.958);VALID;(0.084, 0.173, 0.981);(0.000, 0.000, 0.000);(0.131, 0.093, 0.987);(499.385, 1.905, 241.800);CSTemplate23(Clone);(521.883, 17.839, 411.002);171.423;63.600;VALID;(0.090, 0.216, 0.972);(-0.032, 0.000, 0.000);0.517;6.364;12.311;VALID;(0.075, 0.139, 0.987);(0.032, 0.000, 0.000);0.506;6.599;13.051;0.1498819;0;TargetLandmark1_Billboard;TargetLandmark3_GlobalLandmark1;(-0.986, 0.000, 0.088);92.477
