Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;GazeHitDistance;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;HoldingObjectName;HoldingObjectPosition
;4/11/2025 11:37:35 AM;266447;1000213432294002235;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.055, -0.051, 0.997);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.052, -0.051, 0.997);(-0.031, 0.000, 0.000);0.500;6.929;13.845;VALID;(-0.057, -0.045, 0.997);(0.031, 0.000, 0.000);0.507;6.615;13.057;2;0.4416423;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266448;1000213432299003791;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.053, -0.050, 0.997);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.050, -0.050, 0.997);(-0.031, 0.000, 0.000);0.500;6.928;13.845;VALID;(-0.056, -0.042, 0.998);(0.031, 0.000, 0.000);0.507;6.615;13.057;2;0.4554907;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266449;1000213432304005369;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.052, -0.049, 0.997);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.048, -0.050, 0.998);(-0.031, 0.000, 0.000);0.500;6.927;13.845;VALID;(-0.056, -0.040, 0.998);(0.031, 0.000, 0.000);0.507;6.620;13.057;2;0.4491688;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266450;1000213432309006931;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.051, -0.047, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.046, -0.050, 0.998);(-0.031, 0.000, 0.000);0.500;6.925;13.845;VALID;(-0.055, -0.038, 0.998);(0.031, 0.000, 0.000);0.507;6.625;13.057;2;0.4335687;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266451;1000213432314008480;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.050, -0.046, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.044, -0.050, 0.998);(-0.031, 0.000, 0.000);0.500;6.923;13.845;VALID;(-0.054, -0.037, 0.998);(0.031, 0.000, 0.000);0.507;6.625;13.057;2;0.4530193;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266452;1000213432319010021;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.048, -0.045, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.042, -0.049, 0.998);(-0.031, 0.000, 0.000);0.500;6.922;13.845;VALID;(-0.054, -0.036, 0.998);(0.031, 0.000, 0.000);0.508;6.628;13.057;2;0.4933583;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266453;1000213432324011575;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.047, -0.044, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.040, -0.049, 0.998);(-0.031, 0.000, 0.000);0.500;6.922;13.845;VALID;(-0.053, -0.034, 0.998);(0.031, 0.000, 0.000);0.508;6.633;13.057;2;0.5091875;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266454;1000213432329013095;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.046, -0.043, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.038, -0.049, 0.998);(-0.031, 0.000, 0.000);0.500;6.921;13.845;VALID;(-0.052, -0.033, 0.998);(0.031, 0.000, 0.000);0.508;6.639;13.057;2;0.5605593;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266455;1000213432334014652;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.045, -0.042, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.037, -0.049, 0.998);(-0.031, 0.000, 0.000);0.500;6.919;13.845;VALID;(-0.052, -0.032, 0.998);(0.031, 0.000, 0.000);0.509;6.646;13.057;2;0.558279;None;(0.000, 0.000, 0.000)
;4/11/2025 11:37:35 AM;266456;1000213432339016192;63879968255098;(-0.553, 1.365, 1.289);(0.050, 0.057, -0.034, 0.997);(-0.553, 1.365, 1.289);(0.110, -0.103, 0.989);VALID;(-0.044, -0.041, 0.998);(0.000, 0.000, 0.000);(0.088, -0.097, 0.991);(-0.553, 1.365, 1.289);TargetLandmark2_LionStatue;(-0.463, 1.266, 2.316);1.026;62.150;VALID;(-0.035, -0.049, 0.998);(-0.031, 0.000, 0.000);0.500;6.918;13.845;VALID;(-0.051, -0.031, 0.998);(0.031, 0.000, 0.000);0.509;6.650;13.057;2;0.5870472;None;(0.000, 0.000, 0.000)
