Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;GazeHitDistance;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;isInDirectionTrigger;DirectionTriggerName;isInLandmarkTrigger;LandmarkTriggerName;IsLookingAtMap;MapLocalPos;MapLandmarkName
;4/14/2025 12:27:24 PM;1754068;1000236739773358545;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.068, -0.067, 0.995);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.049, -0.057, 0.997);(-0.031, 0.000, 0.000);0.354;4.459;12.592;VALID;(-0.088, -0.076, 0.993);(0.031, 0.000, 0.000);0.355;4.352;12.273;2;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754069;1000236739778359486;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.067, -0.017, 0.998);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.048, -0.002, 0.999);(-0.031, 0.000, 0.000);0.354;4.459;12.592;VALID;(-0.086, -0.032, 0.996);(0.031, 0.000, 0.000);0.352;4.318;12.273;2;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754070;1000236739783360420;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.066, 0.040, 0.997);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.047, 0.064, 0.997);(-0.031, 0.000, 0.000);0.353;4.447;12.592;VALID;(-0.083, 0.017, 0.996);(0.031, 0.000, 0.000);0.350;4.299;12.273;0.6400306;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754071;1000236739788361383;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.062, 0.097, 0.993);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.045, 0.122, 0.991);(-0.031, 0.000, 0.000);0.353;4.439;12.592;VALID;(-0.078, 0.071, 0.994);(0.031, 0.000, 0.000);0.351;4.314;12.273;0.5543997;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754072;1000236739793362299;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.055, 0.149, 0.987);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.041, 0.177, 0.983);(-0.031, 0.000, 0.000);0.351;4.420;12.592;VALID;(-0.067, 0.121, 0.990);(0.031, 0.000, 0.000);0.350;4.298;12.273;0.4131213;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754073;1000236739798363188;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.046, 0.192, 0.980);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.035, 0.222, 0.974);(-0.031, 0.000, 0.000);0.350;4.405;12.592;VALID;(-0.055, 0.162, 0.985);(0.031, 0.000, 0.000);0.350;4.301;12.273;0.2970966;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754074;1000236739803364088;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.037, 0.219, 0.975);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.030, 0.244, 0.969);(-0.031, 0.000, 0.000);0.348;4.387;12.592;VALID;(-0.044, 0.194, 0.980);(0.031, 0.000, 0.000);0.351;4.303;12.273;0.3196779;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754075;1000236739808364949;63880230444268;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.029, 0.239, 0.971);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.022, 0.271, 0.962);(-0.031, 0.000, 0.000);0.346;4.359;12.592;VALID;(-0.036, 0.210, 0.977);(0.031, 0.000, 0.000);0.351;4.302;12.273;0.2049725;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754076;1000236739813365876;63880230444269;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.022, 0.250, 0.968);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.016, 0.281, 0.960);(-0.031, 0.000, 0.000);0.345;4.346;12.592;VALID;(-0.029, 0.223, 0.974);(0.031, 0.000, 0.000);0.349;4.284;12.273;0.2121778;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
;4/14/2025 12:27:24 PM;1754077;1000236739818366741;63880230444269;(-0.119, 1.356, -0.526);(0.002, 0.990, -0.126, -0.060);(497.094, 1.856, 235.080);(-0.120, -0.250, -0.961);VALID;(-0.017, 0.257, 0.966);(0.000, 0.000, 0.000);(-0.186, 0.037, -0.982);(497.094, 1.856, 235.080);None;(0.000, 0.000, 0.000);-1.000;62.175;VALID;(-0.011, 0.286, 0.958);(-0.031, 0.000, 0.000);0.345;4.339;12.592;VALID;(-0.022, 0.231, 0.973);(0.031, 0.000, 0.000);0.348;4.276;12.273;0.2096955;0;True;Segment1;True;LandmarkTrigger1;False;(0.000, 0.000, 0.000);None
