
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/14/2025 6:43:22 PM;;
Time;Landmark_name;Landmark_viewPos;est_x;est_y;est_z;answer_x;anwser_y;answer_z
4/14/2025 6:43:29 PM;;
4/14/2025 6:45:16 PM;TargetLandmark1_Billboard;(0.554, 0.393, 2.535);0.554;0.393;2.535;0.598;0.395;290.000
4/14/2025 6:45:16 PM;TargetLandmark2_LionStatue;(0.814, 0.239, 2.516);0.814;0.239;2.516;0.394;0.217;292.500
4/14/2025 6:45:16 PM;TargetLandmark3_GlobalLandmark1;(0.527, 0.102, 2.520);0.527;0.102;2.520;0.117;0.395;260.000
4/14/2025 6:45:16 PM;TargetLandmark4_GasStation;(0.398, 0.283, 2.551);0.398;0.283;2.551;0.307;0.677;295.000
4/14/2025 6:45:16 PM;TargetLandmark5_Church;(0.223, 0.629, 2.581);0.223;0.629;2.581;0.604;0.882;275.000
4/14/2025 6:45:16 PM;TargetLandmark6_GlobalLandmark2;(0.410, 0.752, 2.581);0.410;0.752;2.581;0.869;0.849;235.000
4/14/2025 6:45:16 PM;TargetLandmark7_MusicShop;(0.529, 0.616, 2.592);0.529;0.616;2.592;0.791;0.569;280.000
4/14/2025 6:45:19 PM;TargetLandmark1_Billboard;(0.554, 0.393, 2.535);0.554;0.393;2.535;0.598;0.395;290.000
4/14/2025 6:45:19 PM;TargetLandmark2_LionStatue;(0.814, 0.239, 2.516);0.814;0.239;2.516;0.394;0.217;292.500
4/14/2025 6:45:19 PM;TargetLandmark3_GlobalLandmark1;(0.527, 0.102, 2.520);0.527;0.102;2.520;0.117;0.395;260.000
4/14/2025 6:45:19 PM;TargetLandmark4_GasStation;(0.398, 0.283, 2.551);0.398;0.283;2.551;0.307;0.677;295.000
4/14/2025 6:45:19 PM;TargetLandmark5_Church;(0.223, 0.629, 2.581);0.223;0.629;2.581;0.604;0.882;275.000
4/14/2025 6:45:19 PM;TargetLandmark6_GlobalLandmark2;(0.410, 0.752, 2.581);0.410;0.752;2.581;0.869;0.849;235.000
4/14/2025 6:45:19 PM;TargetLandmark7_MusicShop;(0.529, 0.616, 2.592);0.529;0.616;2.592;0.791;0.569;280.000
