
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
4/7/2025 3:57:21 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
4/7/2025 4:08:27 PM;;;;;;;
4/7/2025 4:08:54 PM;0;1;TargetLandmark3_GlobalLandmark1;TargetLandmark1_Billboard;(0.995, 0.000, -0.098);(-0.050, 0.000, -0.740);88.191
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
4/7/2025 4:09:09 PM;;;;;;;
4/7/2025 4:09:35 PM;0;1;TargetLandmark3_GlobalLandmark1;TargetLandmark1_Billboard;(0.995, 0.000, -0.098);(-0.991, 0.000, 0.110);179.286
4/7/2025 4:09:45 PM;1;2;TargetLandmark3_GlobalLandmark1;TargetLandmark2_LionStatue;(0.688, 0.000, -0.725);(0.986, 0.000, -0.064);42.782
4/7/2025 4:09:52 PM;2;3;TargetLandmark3_GlobalLandmark1;TargetLandmark4_GasStation;(0.441, 0.000, 0.897);(0.502, 0.000, 0.863);4.014
4/7/2025 4:09:58 PM;3;4;TargetLandmark3_GlobalLandmark1;TargetLandmark5_Church;(0.681, 0.000, 0.730);(-0.978, 0.000, 0.113);126.420
4/7/2025 4:10:03 PM;4;5;TargetLandmark3_GlobalLandmark1;TargetLandmark6_GlobalLandmark2;(0.847, 0.000, 0.515);(0.727, 0.000, 0.629);9.571
4/7/2025 4:10:06 PM;5;6;TargetLandmark3_GlobalLandmark1;TargetLandmark7_MusicShop;(0.975, 0.000, 0.217);(0.997, 0.000, 0.037);10.420
4/7/2025 4:10:16 PM;6;8;TargetLandmark5_Church;TargetLandmark1_Billboard;(0.117, 0.000, -0.993);(0.950, 0.000, -0.310);65.228
4/7/2025 4:10:19 PM;7;9;TargetLandmark5_Church;TargetLandmark2_LionStatue;(-0.182, 0.000, -0.983);(-0.014, 0.000, -0.997);9.679
4/7/2025 4:10:25 PM;8;10;TargetLandmark5_Church;TargetLandmark3_GlobalLandmark1;(-0.590, 0.000, -0.803);(-0.997, 0.000, 0.041);56.034
4/7/2025 4:10:27 PM;9;11;TargetLandmark5_Church;TargetLandmark4_GasStation;(-0.623, 0.000, -0.782);(-0.045, 0.000, 0.998);138.901
4/7/2025 4:10:30 PM;10;12;TargetLandmark5_Church;TargetLandmark6_GlobalLandmark2;(0.911, 0.000, -0.299);(0.860, 0.000, -0.186);5.987
4/7/2025 4:10:34 PM;11;13;TargetLandmark5_Church;TargetLandmark7_MusicShop;(0.552, 0.000, -0.831);(-0.042, 0.000, -0.993);36.037
4/7/2025 4:10:43 PM;12;15;TargetLandmark7_MusicShop;TargetLandmark1_Billboard;(-0.687, 0.000, -0.726);(-0.996, 0.000, 0.077);50.991
4/7/2025 4:10:51 PM;13;16;TargetLandmark7_MusicShop;TargetLandmark2_LionStatue;(-0.720, 0.000, -0.694);(-0.995, 0.000, 0.045);46.487
4/7/2025 4:10:55 PM;14;17;TargetLandmark7_MusicShop;TargetLandmark3_GlobalLandmark1;(-0.952, 0.000, -0.294);(0.024, 0.000, -0.968);74.281
