Trial;Time;Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GlobalCameraPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;CombinedGazeForwardGlobal;CombinedGazePositionGlobal;GazeHitObject;GazeHitPosition;GazeHitDistance;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;isInDirectionTrigger;DirectionTriggerName;isInLandmarkTrigger;LandmarkTriggerName;IsLookingAtMap;MapLocalPos;MapLandmarkName
;4/22/2025 1:05:21 PM;16437733;1000356274336912590;63880923921301;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.072, 0.122, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.067, 0.126, 0.990);(-0.030, 0.000, 0.000);0.262;3.250;12.429;VALID;(-0.113, 0.072, 0.991);(0.030, 0.000, 0.000);0.265;3.323;12.527;0.5545605;0.04544201;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437734;1000356274341914418;63880923921301;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.072, 0.122, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.067, 0.126, 0.990);(-0.030, 0.000, 0.000);0.261;3.249;12.429;VALID;(-0.113, 0.073, 0.991);(0.030, 0.000, 0.000);0.266;3.332;12.527;0.5547579;0.0594862;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437735;1000356274346916204;63880923921301;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.072, 0.122, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.066, 0.127, 0.990);(-0.030, 0.000, 0.000);0.261;3.249;12.429;VALID;(-0.113, 0.073, 0.991);(0.030, 0.000, 0.000);0.267;3.340;12.527;0.5548675;0.09268081;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437736;1000356274351918011;63880923921301;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.071, 0.123, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.066, 0.127, 0.990);(-0.030, 0.000, 0.000);0.261;3.250;12.429;VALID;(-0.111, 0.073, 0.991);(0.030, 0.000, 0.000);0.267;3.345;12.527;0.5543337;0.1539119;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437737;1000356274356919794;63880923921301;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.071, 0.123, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.065, 0.127, 0.990);(-0.030, 0.000, 0.000);0.261;3.250;12.429;VALID;(-0.110, 0.073, 0.991);(0.030, 0.000, 0.000);0.267;3.345;12.527;0.5517832;0.1956621;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437738;1000356274361921584;63880923921301;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.070, 0.123, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.065, 0.127, 0.990);(-0.030, 0.000, 0.000);0.261;3.249;12.429;VALID;(-0.109, 0.074, 0.991);(0.030, 0.000, 0.000);0.267;3.345;12.527;0.5485591;0.2790035;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437739;1000356274366923380;63880923921302;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.069, 0.123, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.064, 0.128, 0.990);(-0.030, 0.000, 0.000);0.261;3.248;12.429;VALID;(-0.110, 0.074, 0.991);(0.030, 0.000, 0.000);0.271;3.396;12.527;0.5541753;0.191649;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437740;1000356274371925145;63880923921302;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.068, 0.124, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.064, 0.128, 0.990);(-0.030, 0.000, 0.000);0.261;3.248;12.429;VALID;(-0.111, 0.077, 0.991);(0.030, 0.000, 0.000);0.271;3.394;12.527;0.5859697;0.2112636;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437741;1000356274376926928;63880923921302;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.067, 0.124, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.063, 0.128, 0.990);(-0.030, 0.000, 0.000);0.261;3.248;12.429;VALID;(-0.112, 0.080, 0.991);(0.030, 0.000, 0.000);0.270;3.389;12.527;0.6289893;0.2063353;False;;False;;False;(0.000, 0.000, 0.000);None
;4/22/2025 1:05:21 PM;16437742;1000356274381928698;63880923921302;(-0.930, 1.310, -0.381);(0.038, -0.735, -0.009, 0.677);(595.759, 1.810, 736.403);(-0.996, -0.039, -0.083);VALID;(-0.066, 0.125, 0.990);(0.000, 0.000, 0.000);(-0.990, 0.065, -0.121);(595.759, 1.810, 736.403);None;(0.000, 0.000, 0.000);-1.000;60.525;VALID;(-0.063, 0.129, 0.990);(-0.030, 0.000, 0.000);0.261;3.248;12.429;VALID;(-0.112, 0.084, 0.990);(0.030, 0.000, 0.000);0.270;3.379;12.527;0.6751427;0.2128678;False;;False;;False;(0.000, 0.000, 0.000);None
